Year	SeaLevel
1971.2917	56.14
1971.375	54.12
1971.4583	53.31
1971.5417	52.25
1971.625	53.72
1971.7083	56.09
1971.7917	56.81
1971.875	54.34
1971.9583	51.46
1972.0417	52.33
1972.125	55.57
1972.2083	58.38
1972.2917	58.35
1972.375	60
1972.4583	62.91
1972.5417	64.87
1972.625	61.61
1972.7083	59.59
1972.7917	56.92
1972.875	58.46
1972.9583	57.77
1973.0417	54.47
1973.125	54.22
1973.2083	53.68
1973.2917	57.11
1973.375	56.45
1973.4583	58.56
1973.5417	56.95
1973.625	57.71
1973.7083	57.68
1973.7917	60.18
1973.875	65.91
1973.9583	69.18
1974.0417	72.19
1974.125	70.92
1974.2083	69.21
1974.2917	69.77
1974.375	70.14
1974.4583	69.83
1974.5417	67.08
1974.625	64.1
1974.7083	62.68
1974.7917	60.81
1974.875	61.67
1974.9583	61.57
1975.0417	63.83
1975.125	66.04
1975.2083	68.15
1975.2917	67.34
1975.375	65.8
1975.4583	64.31
1975.5417	63.04
1975.625	63.96
1975.7083	65.29
1975.7917	66.67
1975.875	67.06
1975.9583	65
1976.0417	63.85
1976.125	62.16
1976.2083	62.06
1976.2917	62.9
1976.375	61.37
1976.4583	63.28
1976.5417	61.42
1976.625	60.86
1976.7083	62.1
1976.7917	63.45
1976.875	65.87
1976.9583	65.61
1977.0417	62.44
1977.125	59.13
1977.2083	56.91
1977.2917	55.47
1977.375	55.68
1977.4583	55.23
1977.5417	55.18
1977.625	56.11
1977.7083	58.26
1977.7917	60.12
1977.875	62.39
1977.9583	66.32
1978.0417	68.75
1978.125	71.69
1978.2083	68.96
1978.2917	67.59
1978.375	64.34
1978.4583	62.74
1978.5417	61.26
1978.625	62.03
1978.7083	61.34
1978.7917	62.11
1978.875	58.22
1978.9583	58.37
1979.0417	57.28
1979.125	59.34
1979.2083	59.72
1979.2917	58.7
1979.375	58.53
1979.4583	59.09
1979.5417	61.41
1979.625	65.85
1979.7083	68.05
1979.7917	70.21
1979.875	69.16
1979.9583	71.81
1980.0417	71.7
1980.125	71.8
1980.2083	68.4
1980.2917	68.52
1980.375	68.05
1980.4583	68.25
1980.5417	66.58
1980.625	64.31
1980.7083	65.12
1980.7917	65.24
1980.875	69.93
1980.9583	73.87
1981.0417	75.82
1981.125	75.94
1981.2083	76.42
1981.2917	77.36
1981.375	78.21
1981.4583	80.21
1981.5417	79.02
1981.625	81.74
1981.7083	80.82
1981.7917	83.27
1981.875	81.83
1981.9583	79.4
1982.0417	74.51
1982.125	73.46
1982.2083	73.34
1982.2917	72.75
1982.375	73.03
1982.4583	70.18
